Phylum,TARA_004_SRF_0.22-1.6,TARA_141_SRF_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_SRF_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_SRF_0.22-3
Proteobacteria,218,94,28,130,44,180,30,183,52,192,63,212,289,320,50,237,177,81,58,85,20,56,36,81,21,67,41,142,102
Cyanobacteria,174,37,0,190,1,2,0,44,7,76,9,33,167,102,0,74,12,0,2,108,1,118,148,303,2,226,30,272,0
Cyanobacteria,31,46,1,274,0,0,1,51,0,86,0,21,76,26,0,23,3,0,0,36,0,33,190,377,2,292,34,307,0
Cyanobacteria,156,1332,1,354,2,122,0,214,5,562,1,420,180,90,3,198,19,61,2,288,1,19,7,23,0,62,14,175,1
Proteobacteria,178,107,16,140,25,130,20,131,30,128,21,183,316,302,15,181,201,44,24,80,1,47,47,71,13,71,28,132,229
Cyanobacteria,207,34,0,174,0,0,0,34,0,64,0,26,204,162,0,104,10,0,0,105,0,71,197,308,0,278,30,261,0
Proteobacteria,172,85,93,143,64,176,84,297,120,179,101,225,238,173,101,366,189,29,66,69,33,41,31,54,55,56,46,61,2
Proteobacteria,239,134,0,215,11,58,1,130,14,205,0,167,190,278,0,110,106,16,4,53,6,61,88,189,0,170,21,133,20
Thaumarchaeota,0,0,1173,0,851,4,763,2,211,0,1116,2,0,0,931,0,3,0,923,0,572,0,243,0,1127,0,684,0,0
Proteobacteria,214,145,7,113,10,207,7,115,22,118,11,171,262,300,12,291,201,127,22,80,4,56,29,81,4,64,22,123,29
Proteobacteria,62,78,0,276,1,0,0,48,2,104,0,40,131,66,1,34,4,0,1,69,1,47,191,378,3,269,28,305,0
Proteobacteria,57,35,301,153,272,103,234,349,206,268,344,241,214,108,275,117,100,1,307,70,114,33,63,39,200,35,211,57,8
Proteobacteria,49,37,0,257,0,6,0,52,2,85,0,21,58,33,0,19,10,3,0,29,0,43,176,334,1,238,22,263,1
Cyanobacteria,116,31,0,176,0,0,0,39,1,72,0,24,147,118,0,47,3,0,0,90,0,71,186,346,1,326,28,333,1
Actinobacteria,192,162,1,141,1,15,0,130,6,193,0,180,277,328,0,176,71,0,0,32,0,65,48,139,0,124,7,196,0
Deferribacteres,42,93,12,511,14,77,15,304,85,375,11,384,186,168,12,104,39,4,14,45,0,54,74,203,3,118,13,33,0
Proteobacteria,178,112,18,140,26,139,16,143,45,175,18,221,266,315,17,180,162,52,22,64,2,41,41,102,11,93,31,169,22
Cyanobacteria,84,1505,1,175,2,2,0,236,4,535,4,240,41,24,0,3,4,1,0,6,0,1,2,7,0,20,4,96,0
Proteobacteria,284,136,1,90,6,241,2,101,17,96,1,128,202,296,1,278,210,145,10,72,1,45,25,78,1,25,10,83,85
Cyanobacteria,17,2,0,214,1,105,0,371,4,349,1,568,625,204,4,657,190,39,0,1501,1,1120,15,40,0,1,1,30,37
Proteobacteria,36,186,11,233,9,37,9,291,82,272,35,217,204,88,32,73,51,1,49,66,7,38,38,71,9,61,27,59,0
Bacteroidetes,146,37,0,169,0,10,0,46,3,77,1,51,243,155,0,95,19,0,0,91,1,82,147,251,3,155,27,210,0
Proteobacteria,124,70,19,267,14,55,45,229,59,289,55,199,211,210,34,80,82,3,41,69,11,46,84,169,19,208,18,154,8
Proteobacteria,168,115,5,120,6,118,7,116,25,136,11,197,245,254,4,119,152,32,20,67,3,36,39,61,10,44,19,121,190
Proteobacteria,172,76,66,119,73,143,76,146,75,151,103,204,236,260,86,203,159,77,109,68,31,34,40,65,66,45,58,97,134
Proteobacteria,97,470,0,59,1,17,0,35,4,49,0,49,41,36,1,23,55,0,0,12,0,13,38,85,0,60,3,77,1
Bacteroidetes,126,45,0,297,0,29,0,199,11,433,0,423,447,292,1,516,118,0,2,189,11,95,62,92,1,72,7,59,0
Proteobacteria,86,51,55,257,74,135,62,381,153,359,85,356,258,194,73,149,134,20,129,89,29,51,71,110,39,57,75,136,14
Bacteroidetes,85,167,2,531,6,106,2,264,25,253,4,481,297,548,1,194,153,1,2,157,3,96,75,100,1,63,9,141,0
Proteobacteria,155,44,19,152,9,24,28,69,15,107,31,69,201,166,37,80,30,3,20,123,7,96,132,199,6,171,36,134,1
Actinobacteria,92,169,1,267,4,7,1,101,19,147,0,136,189,179,0,72,64,11,0,17,2,22,59,143,0,59,8,133,0
Cyanobacteria,143,30,0,195,0,0,0,22,0,68,0,23,179,89,0,78,5,0,0,108,2,80,144,279,1,185,27,207,0
Cyanobacteria,25,52,1,255,0,0,0,56,0,96,0,34,61,16,0,18,2,0,0,21,0,28,186,348,3,283,30,278,0
Proteobacteria,146,180,1,174,0,88,1,149,15,139,2,163,222,201,2,75,102,10,2,41,3,44,60,152,5,150,20,178,1
Proteobacteria,42,104,36,304,7,78,42,407,107,366,57,241,211,126,28,93,66,0,45,82,5,43,33,93,8,85,24,101,0
Proteobacteria,272,103,6,166,7,114,4,126,27,155,3,140,185,352,2,116,127,30,12,74,0,46,65,138,4,137,13,131,70
Proteobacteria,205,100,0,169,4,65,3,81,22,143,1,112,184,241,0,69,93,18,4,119,1,84,54,131,1,125,23,130,23
Cyanobacteria,18,17,0,168,0,0,0,35,0,65,0,44,82,24,0,5,2,0,0,26,0,37,241,413,1,517,53,400,0
